,Código,Categoría,Serie,Fecha Inicio,Fecha Fin,Última Actualización,Frecuencia
1347,PN00838MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Pasivos con el Exterior - Santander,Mar-2014,Jun-2023,20-07-2023,M
1348,PN00839MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Pasivos con el Exterior - Ripley,Mar-2014,Jun-2023,20-07-2023,M
1349,PN00840MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Pasivos con el Exterior - Azteca,Mar-2014,Jun-2023,20-07-2023,M
1350,PN00841MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Pasivos con el Exterior - Deutsche (descontinuada),Mar-2014,May-2019,24-12-2021,M
1351,PN00842MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Pasivos con el Exterior - Cencosud (descontinuada),Mar-2014,May-2019,24-12-2021,M
1352,PN00843MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Pasivos con el Exterior - ICBC,Mar-2014,Jun-2023,20-07-2023,M
1353,PN00844MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Pasivos con el Exterior - Total,Ene-2017,Jun-2023,20-07-2023,M
1354,PN00845MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Crédito,Mar-2014,Jun-2023,20-07-2023,M
1355,PN00846MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Scotiabank,Mar-2014,Jun-2023,20-07-2023,M
1356,PN00847MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Continental,Mar-2014,Jun-2023,20-07-2023,M
1357,PN00848MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Interbank,Mar-2014,Jun-2023,20-07-2023,M
1358,PN00849MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Citibank,Mar-2014,Jun-2023,20-07-2023,M
1359,PN00850MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Financiero,Mar-2014,Jun-2023,20-07-2023,M
1360,PN00851MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Interamericano,Mar-2014,Jun-2023,20-07-2023,M
1361,PN00852MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Comercio,Mar-2014,Jun-2023,20-07-2023,M
1362,PN00853MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Mibanco,Mar-2014,Jun-2023,20-07-2023,M
1363,PN00854MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - GNB,Mar-2014,Jun-2023,20-07-2023,M
1364,PN00855MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Falabella,Mar-2014,Jun-2023,20-07-2023,M
1365,PN00856MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Santander,Mar-2014,Jun-2023,20-07-2023,M
1366,PN00857MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Ripley,Mar-2014,Jun-2023,20-07-2023,M
1367,PN00858MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Azteca,Mar-2014,Jun-2023,20-07-2023,M
1368,PN00859MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Deutsche (descontinuada),Mar-2014,May-2019,24-12-2021,M
1369,PN00860MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Cencosud (descontinuada),Mar-2014,May-2019,24-12-2021,M
1370,PN00861MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - ICBC,Mar-2014,Jun-2023,20-07-2023,M
1371,PN00862MM,"Crédito de las empresas bancarias al sector privado en ME - por institución (millones US$)	
         - (144 series)",Resto - Total,Ene-2017,Jun-2023,20-07-2023,M
1372,PN07693EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Crédito,Ene-2010,Mar-2023,22-06-2023,M
1373,PN07694EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Interbank,Ene-2010,Mar-2023,22-06-2023,M
1374,PN07695EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Citibank,Ene-2010,Mar-2023,22-06-2023,M
1375,PN07696EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Scotiabank,Ene-2010,Mar-2023,22-06-2023,M
1376,PN07697EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Continental,Ene-2010,Mar-2023,22-06-2023,M
1377,PN07698EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Comercio,Ene-2010,Mar-2023,22-06-2023,M
1378,PN07699EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Financiero,Ene-2010,Mar-2023,22-06-2023,M
1379,PN07700EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - BanBif,Ene-2010,Mar-2023,22-06-2023,M
1380,PN07701EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - MiBanco,Ene-2010,Mar-2023,22-06-2023,M
1381,PN07702EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - GNB,Ene-2010,Mar-2023,22-06-2023,M
1382,PN07703EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Falabella,Ene-2010,Mar-2023,22-06-2023,M
1383,PN07704EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Santander,Ene-2010,Mar-2023,22-06-2023,M
1384,PN07705EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Ripley,Ene-2010,Mar-2023,22-06-2023,M
1385,PN07706EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Azteca,Ene-2010,Mar-2023,22-06-2023,M
1386,PN07708EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Cencosud,Jul-2012,Feb-2019,22-06-2023,M
1387,PN07709EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - ICBC,Feb-2014,Mar-2023,22-06-2023,M
1388,PN07710EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Participación (%) - Empresas Bancarias,Ene-2010,Mar-2023,22-06-2023,M
1389,PN07711EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Crédito,Ene-2011,Mar-2023,22-06-2023,M
1390,PN07712EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Interbank,Ene-2011,Mar-2023,22-06-2023,M
1391,PN07713EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Citibank,Ene-2011,Mar-2023,22-06-2023,M
1392,PN07714EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Scotiabank,Ene-2011,Mar-2023,22-06-2023,M
1393,PN07715EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Continental,Ene-2011,Mar-2023,22-06-2023,M
1394,PN07716EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Comercio,Ene-2011,Mar-2023,22-06-2023,M
1395,PN07717EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Financiero,Ene-2011,Mar-2023,22-06-2023,M
1396,PN07718EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - BanBif,Ene-2011,Mar-2023,22-06-2023,M
1397,PN07719EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - MiBanco,Ene-2011,Mar-2023,22-06-2023,M
1398,PN07720EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - GNB,Ene-2011,Mar-2023,22-06-2023,M
1399,PN07721EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Falabella,Ene-2011,Mar-2023,22-06-2023,M
1400,PN07722EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Santander,Ene-2011,Mar-2023,22-06-2023,M
1401,PN07723EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Ripley,Ene-2011,Mar-2023,22-06-2023,M
1402,PN07724EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Azteca,Ene-2011,Mar-2023,22-06-2023,M
1403,PN07726EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Cencosud,Ene-2013,Feb-2019,22-06-2023,M
1404,PN07727EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - ICBC,Feb-2015,Mar-2023,22-06-2023,M
1405,PN07728EM,"Indicadores de las empresas bancarias	
         - (85 series)",Colocaciones - Tasa mensual de crecimiento (%) - Empresas Bancarias,Ene-2011,Mar-2023,22-06-2023,M
1406,PN07747EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Crédito,Ene-2010,Mar-2023,22-06-2023,M
1407,PN07748EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Interbank,Ene-2010,Mar-2023,22-06-2023,M
1408,PN07749EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Citibank,Ene-2010,Mar-2023,22-06-2023,M
1409,PN07750EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Scotiabank,Ene-2010,Mar-2023,22-06-2023,M
1410,PN07751EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Continental,Ene-2010,Mar-2023,22-06-2023,M
1411,PN07752EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Comercio,Ene-2010,Mar-2023,22-06-2023,M
1412,PN07753EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Financiero,Ene-2010,Mar-2023,22-06-2023,M
1413,PN07754EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - BanBif,Ene-2010,Mar-2023,22-06-2023,M
1414,PN07755EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - MiBanco,Ene-2010,Mar-2023,22-06-2023,M
1415,PN07756EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - GNB,Ene-2010,Mar-2023,22-06-2023,M
1416,PN07757EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Falabella,Ene-2010,Mar-2023,22-06-2023,M
1417,PN07758EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Santander,Ene-2010,Mar-2023,22-06-2023,M
1418,PN07759EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Ripley,Ene-2010,Mar-2023,22-06-2023,M
1419,PN07760EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Azteca,Ene-2010,Mar-2023,22-06-2023,M
1420,PN07762EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Cencosud,Jul-2012,Feb-2019,22-06-2023,M
1421,PN07763EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - ICBC,Feb-2014,Mar-2023,22-06-2023,M
1422,PN07764EM,"Indicadores de las empresas bancarias	
         - (85 series)",Gastos Operativos / Margen Financiero e Ingreso Neto Por Servicios Financieros (%) - Empresas Bancarias,Ene-2001,Mar-2023,22-06-2023,M
1423,PN07765EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Crédito (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1424,PN07766EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Interbank (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1425,PN07767EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Citibank (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1426,PN07768EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Scotiabank (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1427,PN07769EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Continental (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1428,PN07770EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Comercio (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1429,PN07771EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Financiero (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1430,PN07772EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - BanBif (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1431,PN07773EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - MiBanco (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1432,PN07774EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - GNB (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1433,PN07775EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Falabella (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1434,PN07776EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Santander (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1435,PN07777EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Ripley (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1436,PN07778EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Azteca (millones S/),Ene-2010,Mar-2023,22-06-2023,M
1437,PN07780EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Cencosud (millones S/),Jul-2012,Feb-2019,22-06-2023,M
1438,PN07781EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - ICBC (millones S/),Feb-2014,Mar-2023,22-06-2023,M
1439,PN07782EM,"Indicadores de las empresas bancarias	
         - (85 series)",Utilidad acumulada - Empresas Bancarias (millones S/),Ene-2001,Mar-2023,22-06-2023,M
1440,PN07783EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Crédito,Ene-2010,Feb-2023,22-06-2023,M
1441,PN07784EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Interbank,Ene-2010,Feb-2023,22-06-2023,M
1442,PN07785EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Citibank,Ene-2010,Feb-2023,22-06-2023,M
1443,PN07786EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Scotiabank,Ene-2010,Feb-2023,22-06-2023,M
1444,PN07787EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Continental,Ene-2010,Feb-2023,22-06-2023,M
1445,PN07788EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Comercio,Ene-2010,Feb-2023,22-06-2023,M
1446,PN07789EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Financiero,Ene-2010,Feb-2023,22-06-2023,M
1447,PN07790EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - BanBif,Ene-2010,Feb-2023,22-06-2023,M
1448,PN07791EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - MiBanco,Ene-2010,Feb-2023,22-06-2023,M
1449,PN07792EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - GNB,Ene-2010,Feb-2023,22-06-2023,M
1450,PN07793EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Falabella,Ene-2010,Feb-2023,22-06-2023,M
1451,PN07794EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Santander,Ene-2010,Feb-2023,22-06-2023,M
1452,PN07795EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Ripley,Ene-2010,Feb-2023,22-06-2023,M
1453,PN07796EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Azteca,Ene-2010,Feb-2023,22-06-2023,M
1454,PN07798EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Cencosud,Jul-2012,Feb-2019,22-06-2023,M
1455,PN07799EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - ICBC,Feb-2014,Feb-2023,22-06-2023,M
1456,PN07800EM,"Indicadores de las empresas bancarias	
         - (85 series)",Palanca global - Empresas Bancarias,Ene-1995,Feb-2023,22-06-2023,M
1457,PN07678NM,"Encaje de las empresas bancarias (promedios diarios)	
         - (11 series)",MN - TOSE (millones S/),Dic-2001,Jun-2023,21-07-2023,M
1458,PN07679NM,"Encaje de las empresas bancarias (promedios diarios)	
         - (11 series)",MN - Fondos de encaje - Exigibles (millones S/),Dic-2001,Jun-2023,21-07-2023,M
1459,PN07680NM,"Encaje de las empresas bancarias (promedios diarios)	
         - (11 series)",MN - Fondos de encaje - Efectivos (millones S/),Dic-2001,Jun-2023,21-07-2023,M
1460,PN07681NM,"Encaje de las empresas bancarias (promedios diarios)	
         - (11 series)",MN - Excedente / (Deficit) - Monto,Dic-2001,Jun-2023,21-07-2023,M
1461,PN07682NM,"Encaje de las empresas bancarias (promedios diarios)	
         - (11 series)",MN - Excedente / (Deficit) - % del TOSE,Dic-2001,Jun-2023,21-07-2023,M
1462,PN07685NM,"Encaje de las empresas bancarias (promedios diarios)	
         - (11 series)",ME - TOSE (millones US$),Dic-2001,Jun-2023,21-07-2023,M
1463,PN07686NM,"Encaje de las empresas bancarias (promedios diarios)	
         - (11 series)",ME - Adeudado al exterior sujeto a encaje (millones US$),Abr-2004,Jun-2023,21-07-2023,M
1464,PN07687NM,"Encaje de las empresas bancarias (promedios diarios)	
         - (11 series)",ME - Fondos de encaje - Exigible (millones US$),Dic-2001,Jun-2023,21-07-2023,M
1465,PN07688NM,"Encaje de las empresas bancarias (promedios diarios)	
         - (11 series)",ME - Fondos de encaje - Efectivos (millones US$),Dic-2001,Jun-2023,21-07-2023,M
1466,PN07689NM,"Encaje de las empresas bancarias (promedios diarios)	
         - (11 series)",ME - Excedente / (Deficit) - Monto,Dic-2001,Jun-2023,21-07-2023,M
1467,PN07690NM,"Encaje de las empresas bancarias (promedios diarios)	
         - (11 series)",ME - Excedente / (Deficit) - % del TOSE,Dic-2001,Jun-2023,21-07-2023,M
1468,PN06550NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Crédito (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1469,PN06551NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Interbank (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1470,PN06552NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Citibank (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1471,PN06553NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Scotiabank (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1472,PN06554NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Continental (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1473,PN06555NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Comercio (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1474,PN06556NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Financiero (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1475,PN06557NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Interamericano (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1476,PN06558NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Mibanco (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1477,PN06559NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - GNB Perú (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1478,PN06560NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Falabella Perú S.A. (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1479,PN06561NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Ripley (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1480,PN06562NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Santander Perú S.A. (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1481,PN06563NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Deutsche Bank Perú S.A. (millones S/),Ene-2010,Jul-2016,21-07-2023,M
1482,PN06564NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Azteca (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1483,PN06565NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Cencosud (millones S/),Sep-2012,Feb-2019,21-07-2023,M
1484,PN06566NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - ICBC Perú Bank S.A. (millones S/),Dic-2013,Jun-2023,21-07-2023,M
1485,PN06567NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - TOSE - Total (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1486,PN06568NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Crédito (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1487,PN06569NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Interbank (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1488,PN06570NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Citibank (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1489,PN06571NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Scotiabank (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1490,PN06572NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Continental (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1491,PN06573NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Comercio (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1492,PN06574NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Financiero (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1493,PN06575NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Interamericano (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1494,PN06576NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Mibanco (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1495,PN06577NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - GNB Perú (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1496,PN06578NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Falabella Perú S.A. (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1497,PN06579NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Ripley (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1498,PN06580NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Santander Perú S.A. (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1499,PN06581NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Deutsche Bank Perú S.A. (millones S/),Ene-2010,Jul-2016,21-07-2023,M
1500,PN06582NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Azteca (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1501,PN06583NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Cencosud (millones S/),Sep-2012,Feb-2019,21-07-2023,M
1502,PN06584NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - ICBC Perú Bank S.A. (millones S/),Dic-2013,Jun-2023,21-07-2023,M
1503,PN06585NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Exigibles - Total (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1504,PN06586NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Efectivos - Crédito (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1505,PN06587NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Efectivos - Interbank (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1506,PN06588NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Efectivos - Citibank (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1507,PN06589NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Efectivos - Scotiabank (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1508,PN06590NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Efectivos - Continental (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1509,PN06591NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Efectivos - Comercio (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1510,PN06592NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Efectivos - Financiero (millones S/),Ene-2010,Jun-2023,21-07-2023,M
1511,PN06593NM,"Encaje de las empresas bancarias en MN	
         - (90 series)",MN - Fondos de encaje - Efectivos - Interamericano (millones S/),Ene-2010,Jun-2023,21-07-2023,M
