,Código,Categoría,Serie,Fecha Inicio,Fecha Fin,Última Actualización,Frecuencia
37,PD37524TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",SWAP Cambiarios del BCRP Compra - Vencido,02-01-2014,20-07-2023,21-07-2023,D
38,PD37525TD,"Operaciones cambiarias del BCRP con las empresas bancarias (millones US$)	
         - (11 series)",REPO Sustitución - Ventas Netas,02-01-2014,20-07-2023,21-07-2023,D
39,PD12301MD,"Tasas de interés	
         - (20 series)",Tasa de Referencia de la Política Monetaria,05-09-2003,21-07-2023,21-07-2023,D
40,PD04677MD,"Tasas de interés	
         - (20 series)","Créditos por regulación monetaria, S/",04-01-1999,20-07-2023,21-07-2023,D
41,PD04678MD,"Tasas de interés	
         - (20 series)","Créditos por regulación monetaria, US$",04-01-1999,04-02-2020,21-07-2023,D
42,PD04679MD,"Tasas de interés	
         - (20 series)",Del saldo de CDBCRP,04-01-1999,20-07-2023,21-07-2023,D
43,PD04680MD,"Tasas de interés	
         - (20 series)",Del saldo de CDV BCRP,11-10-2010,13-06-2023,21-07-2023,D
44,PD04681MD,"Tasas de interés	
         - (20 series)",Del saldo de CDLD BCRP,20-10-2010,04-02-2020,21-07-2023,D
45,PD04682MD,"Tasas de interés	
         - (20 series)","Operaciones de reporte, total",22-09-1997,20-07-2023,21-07-2023,D
46,PD04683MD,"Tasas de interés	
         - (20 series)","Operaciones de reporte, overnight",21-01-1999,11-07-2023,21-07-2023,D
47,PD04684MD,"Tasas de interés	
         - (20 series)","Operaciones de reporte, 1 semana",01-01-2000,07-06-2023,21-07-2023,D
48,PD04685MD,"Tasas de interés	
         - (20 series)","Operaciones de reporte, 2 semanas",31-03-2006,04-02-2020,21-07-2023,D
49,PD04686MD,"Tasas de interés	
         - (20 series)","Operaciones de reporte, 1 mes",03-04-2006,20-07-2023,21-07-2023,D
50,PD04687MD,"Tasas de interés	
         - (20 series)","Operaciones de reporte, 3 meses",01-01-2000,20-07-2023,21-07-2023,D
51,PD04688MD,"Tasas de interés	
         - (20 series)","Operaciones de reporte, directo",05-10-2001,04-02-2020,21-07-2023,D
52,PD04689MD,"Tasas de interés	
         - (20 series)",Compras con compromiso de recompras en ME,14-10-2008,04-02-2020,21-07-2023,D
53,PD04690MD,"Tasas de interés	
         - (20 series)","Préstamos y descuentos hasta 360 días, S/",01-08-2002,20-07-2023,21-07-2023,D
54,PD04691MD,"Tasas de interés	
         - (20 series)","Préstamos y descuentos hasta 360 días, US$",31-12-2012,20-07-2023,21-07-2023,D
55,PD04692MD,"Tasas de interés	
         - (20 series)","Interbancaria, S/",03-04-1995,20-07-2023,21-07-2023,D
56,PD04693MD,"Tasas de interés	
         - (20 series)","Interbancaria, US$",03-04-1995,20-07-2023,21-07-2023,D
57,PD31893DD,"Tasas de interés	
         - (20 series)",Rendimiento del Bono del gobierno peruano a 10 años (en S/),13-05-2005,20-07-2023,21-07-2023,D
58,PD31894DD,"Tasas de interés	
         - (20 series)",Rendimiento del Bono del gobierno peruano a 10 años (en US$),30-07-2009,20-07-2023,21-07-2023,D
59,PD04637PD,"Tipo de cambio	
         - (12 series)",TC Interbancario (S/ por US$) - Compra,02-01-1997,20-07-2023,21-07-2023,D
60,PD04638PD,"Tipo de cambio	
         - (12 series)",TC Interbancario (S/ por US$) - Venta,02-01-1997,20-07-2023,21-07-2023,D
61,PD04639PD,"Tipo de cambio	
         - (12 series)",TC Sistema bancario SBS (S/ por US$) - Compra,02-01-1997,20-07-2023,21-07-2023,D
62,PD04640PD,"Tipo de cambio	
         - (12 series)",TC Sistema bancario SBS (S/ por US$) - Venta,02-01-1997,20-07-2023,21-07-2023,D
63,PD04641PD,"Tipo de cambio	
         - (12 series)",TC Informal (S/ por US$) - Compra (descontinuada),02-01-1996,16-03-2020,21-07-2023,D
64,PD04642PD,"Tipo de cambio	
         - (12 series)",TC Informal (S/ por US$) - Venta (descontinuada),02-01-1996,16-03-2020,21-07-2023,D
65,PD04643PD,"Tipo de cambio	
         - (12 series)",TC 11:00 AM (S/ por US$) - Compra,19-01-2004,20-07-2023,21-07-2023,D
66,PD04644PD,"Tipo de cambio	
         - (12 series)",TC 11:00 AM (S/ por US$) - Venta,19-01-2004,20-07-2023,21-07-2023,D
67,PD04645PD,"Tipo de cambio	
         - (12 series)",TC Cierre Compra - 01:30 PM (S/ por US$),19-01-2004,20-07-2023,21-07-2023,D
68,PD04646PD,"Tipo de cambio	
         - (12 series)",TC Cierre Venta - 01:30 PM (S/ por US$),19-01-2004,20-07-2023,21-07-2023,D
69,PD04647PD,"Tipo de cambio	
         - (12 series)",TC Euro (S/ por Euro) - Compra,01-02-2002,20-07-2023,21-07-2023,D
70,PD04648PD,"Tipo de cambio	
         - (12 series)",TC Euro (S/ por Euro) - Venta,01-02-2002,20-07-2023,21-07-2023,D
71,PD38026MD,"Indicadores bursátiles	
         - (5 series)",Índice General Bursátil BVL (índice),02-01-2006,20-07-2023,21-07-2023,D
72,PD38027MD,"Indicadores bursátiles	
         - (5 series)",Índice Selectivo Bursátil BVL (índice),02-01-2006,20-07-2023,21-07-2023,D
73,PD04696MD,"Indicadores bursátiles	
         - (5 series)",Monto negociado en acciones (millones S/) - Promedio diario,02-01-1997,20-07-2023,21-07-2023,D
74,PD04694MD,"Indicadores bursátiles	
         - (5 series)",Índice General Bursátil BVL (var%),02-01-1997,20-07-2023,21-07-2023,D
75,PD04695MD,"Indicadores bursátiles	
         - (5 series)",Índice Selectivo Bursátil BVL (var%),02-01-1997,20-07-2023,21-07-2023,D
76,PD04700XD,"Tipos de cambio (otras divisas)	
         - (2 series)",Dólar por Euro,12-04-2001,20-07-2023,21-07-2023,D
77,PD04697XD,"Tipos de cambio (otras divisas)	
         - (2 series)",DEG por un USD,02-01-1997,20-07-2023,21-07-2023,D
78,PD04699XD,"Tipos de cambio (UM por US$)	
         - (2 series)",Euro por Dólar,12-04-2001,20-07-2023,21-07-2023,D
79,PD04698XD,"Tipos de cambio (UM por US$)	
         - (2 series)",Yen por Dólar,12-04-2001,20-07-2023,21-07-2023,D
80,PD04701XD,"Cotizaciones internacionales	
         - (8 series)","Cobre (Londres, cUS$ por libras)",02-01-1997,21-07-2023,21-07-2023,D
81,PD04702XD,"Cotizaciones internacionales	
         - (8 series)","Plata (H.Harman, US$ por onzas troy)",02-01-1997,21-07-2023,21-07-2023,D
82,PD04703XD,"Cotizaciones internacionales	
         - (8 series)","Zinc (Londres, cUS$ por libras)",02-01-1997,21-07-2023,21-07-2023,D
83,PD04704XD,"Cotizaciones internacionales	
         - (8 series)","Oro (Londres, US$ por onzas troy)",02-01-1997,21-07-2023,21-07-2023,D
84,PD04705XD,"Cotizaciones internacionales	
         - (8 series)","Petróleo (West Texas Intermediate, US$ por barriles)",02-01-1997,21-07-2023,21-07-2023,D
85,PD31887XD,"Cotizaciones internacionales	
         - (8 series)",Trigo - EEUU,03-01-2000,21-07-2023,21-07-2023,D
86,PD31888XD,"Cotizaciones internacionales	
         - (8 series)",Maíz - EEUU,03-01-2000,21-07-2023,21-07-2023,D
87,PD31889XD,"Cotizaciones internacionales	
         - (8 series)",Aceite Soya - EEUU,03-01-2000,21-07-2023,21-07-2023,D
88,PD04718XD,"Tasas de interés internacionales	
         - (3 series)",Bonos del Tesoro EE.UU. - 5 años (%),01-12-2000,20-07-2023,21-07-2023,D
89,PD04719XD,"Tasas de interés internacionales	
         - (3 series)",Bonos del Tesoro EE.UU. - 10 años (%),14-01-1997,20-07-2023,21-07-2023,D
90,PD04720XD,"Tasas de interés internacionales	
         - (3 series)",Bonos del Tesoro EE.UU. - 30 años (%),14-01-1997,20-07-2023,21-07-2023,D
91,PD04708XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - EMBIG America Latina (pbs),02-01-1998,19-07-2023,21-07-2023,D
92,PD04709XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - EMBIG Perú (pbs),01-01-1998,19-07-2023,21-07-2023,D
93,PD04710XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - EMBIG Argentina (pbs),02-01-1998,19-07-2023,21-07-2023,D
94,PD04711XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - EMBIG Brasil (pbs),02-01-1998,19-07-2023,21-07-2023,D
95,PD04712XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - EMBIG Ecuador (pbs),02-01-1998,19-07-2023,21-07-2023,D
